cv1,cv2,label2,pear,spear,occ,min_bin,cond_iqr_med,frac_bins_iqr50,ent1,ent2,score,control
c_ca_s4_r010_b3,dssp_helix_1_9,dssp_helix_1_9,0.15507242047146458,0.14178478697939106,0.375,37,1.0,0.9375,0.9113051617310904,0.42601366255954454,0.1285352599792603,
c_bb_s4_r010_b3,dssp_helix_1_9,dssp_helix_1_9,0.15932049812294535,0.1438629491229152,0.375,40,1.0,0.9375,0.8948969706815642,0.42601366255954454,0.1282240127450651,
c_heavy_s4_r012_b3,contact_order_ca8,contact_order_ca8,0.8073776910743063,0.8260864728679518,0.9140625,1,0.5503572532847288,0.5625,0.9079834279008894,0.8543630033538454,0.07639663251108898,NEGATIVE
c_bb_s4_r010_b3,cage_w6_pros_r06_b4,cage_w6_pros_r06_b4,0.18977254178780487,0.4513930938052018,0.875,8,1.0114220614898872,0.5625,0.8948969706815642,0.22260798216062333,0.06010804228442659,
c_bb_s4_r010_b3,cage_score,cage_score,0.18977254178780487,0.4513930938052018,0.875,8,1.0114220614898872,0.5625,0.8948969706815642,0.22260798216062333,0.06010804228442659,
c_ca_s4_r010_b3,cage_w6_pros_r06_b4,cage_w6_pros_r06_b4,0.19214316234920545,0.4531690110681774,0.875,9,1.4322251816489133,0.5,0.9113051617310904,0.22260798216062333,0.05325641257519239,
c_ca_s4_r010_b3,cage_score,cage_score,0.19214316234920545,0.4531690110681774,0.875,9,1.4322251816489133,0.5,0.9113051617310904,0.22260798216062333,0.05325641257519239,
c_heavy_s4_r012_b3,cage_w6_pros_r06_b4,cage_w6_pros_r06_b4,0.2869757926811055,0.5514558089194307,0.875,5,0.7107761576859879,0.5625,0.9079834279008894,0.22260798216062333,0.04914468428935796,
c_heavy_s4_r012_b3,cage_score,cage_score,0.2869757926811055,0.5514558089194307,0.875,5,0.7107761576859879,0.5625,0.9079834279008894,0.22260798216062333,0.04914468428935796,
c_sch_s4_r012_b3,cage_w6_pros_r06_b4,cage_w6_pros_r06_b4,0.3273871706085536,0.5678264964908349,0.875,1,0.40077404475619216,0.5,0.8954455417198809,0.22260798216062333,0.042089806307264756,
c_sch_s4_r012_b3,cage_score,cage_score,0.3273871706085536,0.5678264964908349,0.875,1,0.40077404475619216,0.5,0.8954455417198809,0.22260798216062333,0.042089806307264756,
c_ca_s4_r010_b3,contact_order_ca8,contact_order_ca8,0.8595682449671925,0.893798076023501,0.7421875,1,0.43225962107688276,0.3125,0.9113051617310904,0.8543630033538454,0.02104449340673645,NEGATIVE
c_bb_s4_r010_b3,contact_order_ca8,contact_order_ca8,0.8633306008825379,0.8974059151009184,0.734375,1,0.430378145325258,0.3125,0.8948969706815642,0.8543630033538454,0.020115584734051672,NEGATIVE
