cv,mean,std,min,max,iqr,entropy,spear_energy,spear_cage,spear_trpcage_like
c_bb_s2_r014_b3,0.6345119822346165,0.14210400871429346,0.2740916609764099,0.9795712232589722,0.20624998211860657,0.9284613917186679,-0.15880152157771393,0.5123156003608904,
c_sch_s2_r04.5_b6,0.007081702595711842,0.003954919224470585,3.7462091313500415e-06,0.028143061324954,0.0052719758823514,0.7948384444646304,-0.15812738211156774,0.3282197862328559,
c_sch_s2_r06_b6,0.03630769031295446,0.013239113473788084,0.002044009277597,0.1022690162062645,0.0176355745643377,0.7912168531281096,-0.19616271348592682,0.4036859443761151,
c_sch_s2_r08_b3,0.116525421073971,0.029395399322006095,0.038695752620697,0.2461423724889755,0.03931362181901929,0.8161508223623909,-0.21283136846394424,0.4768173958344262,
c_sch_s2_r08_b6,0.11516176857114548,0.029353088346379813,0.0373538099229335,0.2438351958990097,0.03929962962865831,0.8174942544620931,-0.21087522872366235,0.4716442466937651,
c_sch_s2_r010_b3,0.23380692127942035,0.05145417173543191,0.1044738441705703,0.440811276435852,0.06995472311973577,0.8443170741994462,-0.22581474451380643,0.5239416838850349,
c_sch_s2_r012_b1.5,0.3709924805648143,0.07740871694313586,0.1769621223211288,0.6339160799980164,0.10953769087791443,0.8786343328081778,-0.2170445778185935,0.5637115445870807,
c_sch_s2_r012_b3,0.37148806710791454,0.07805690665494741,0.1732573807239532,0.6394797563552856,0.10979901254177094,0.8750640340963107,-0.21912951396292674,0.560038701166545,
c_sch_s2_r06_b1.5,0.04385875853863705,0.013588931971378499,0.0081638377159833,0.1084323227405548,0.01816627383232114,0.8006752224284636,-0.20502554128433886,0.4414368128146712,
c_sch_s2_r06_b3,0.037851569378248504,0.013221360951168845,0.0033942302688956,0.1030091941356659,0.01761688850820065,0.7927484312634883,-0.1976779151878452,0.41405761840539795,
c_sch_s2_r08_b1.5,0.12176622942265504,0.029749976179700384,0.0448272190988063,0.2528051435947418,0.0398775078356266,0.8200915368153697,-0.21812791793461453,0.4920342969380399,
c_sch_s2_r010_b1.5,0.23658809270981973,0.05159194259659225,0.1071971431374549,0.4416847229003906,0.07044517993927005,0.8474048075650913,-0.22551670963419898,0.5330021101749579,
c_sch_s2_r010_b6,0.2330847561465943,0.05145317614111717,0.1036938428878784,0.4396831691265106,0.06980855017900467,0.8444377677333358,-0.22591764563965716,0.5210310220718076,
c_sch_s2_r012_b6,0.37166895351002815,0.07827198104122313,0.1722628623247146,0.6430210471153259,0.11015470325946808,0.8727977609422799,-0.22003918475974032,0.5587787579276138,
c_sch_s2_r014_b3,0.5054321344054694,0.10312946181573872,0.257067322731018,0.8180564641952515,0.15062224864959722,0.9033801070160501,-0.19932025834261735,0.5787429412212552,
c_sca_s2_r04.5_b6,0.010772471871304114,0.004344249576540028,0.0004740676668006,0.0321117863059043,0.005931369960308099,0.8021669085252005,-0.18721055681789467,0.37372682162186205,
c_sca_s2_r06_b6,0.03898712736101556,0.012457569069623508,0.0057084877043962,0.0961944162845611,0.01694274507462975,0.8054587348880681,-0.2083025698660723,0.4232090521436179,
c_sca_s2_r08_b3,0.11447536818046267,0.028501742075787623,0.0416210480034351,0.2398010492324829,0.038403514772653594,0.8215386581297626,-0.21985679722393042,0.48019807343497917,
c_sca_s2_r08_b6,0.11306172611992658,0.028339257930383183,0.0404679514467716,0.2378134429454803,0.038266550749540384,0.8208194889766384,-0.21903498365759375,0.4770491824571451,
c_sca_s2_r010_b3,0.2271844876859419,0.05108918136823769,0.1014624536037445,0.4257748126983642,0.07040601968765253,0.8527521588579743,-0.22034478142406022,0.5148276980815862,
c_sca_s2_r012_b1.5,0.35965305048200363,0.07781361642844528,0.173842117190361,0.6202996373176575,0.11313128471374512,0.8864833215527984,-0.2084651382577065,0.544336007790561,
c_sca_s2_r012_b3,0.3599193640896956,0.07818898903478279,0.171639084815979,0.624923586845398,0.11318343877792358,0.8829113981661176,-0.20990705199096907,0.5413746140281201,
c_sca_s2_r06_b1.5,0.04587685008184795,0.013243533275503889,0.010761278681457,0.1065577417612075,0.018087670207023544,0.8072492101471711,-0.2147558355250303,0.4484947037489274,
c_sca_s2_r06_b3,0.040398593976327515,0.012582980577995242,0.0067970603704452,0.0983407124876976,0.017187500372529058,0.8051737259350894,-0.20980743080555067,0.429427855120675,
c_sca_s2_r08_b1.5,0.11972654031574151,0.02916226102004537,0.0464605093002319,0.245387464761734,0.039577189832925755,0.8279322415688289,-0.22156796252311078,0.49012042502036846,
c_sca_s2_r010_b1.5,0.22991877368193747,0.05141444486284616,0.1041576638817787,0.4261027872562408,0.07114777714014056,0.8571841428113423,-0.21952892236944618,0.5209988065036757,
c_sca_s2_r010_b6,0.22647851901548968,0.05101352814329555,0.1008818000555038,0.4259294271469116,0.07017747312784195,0.8513147594736228,-0.2204272404066414,0.5128711661982601,
c_sca_s2_r012_b6,0.3600290461821632,0.07831062595666152,0.1708419471979141,0.6261534690856934,0.11318287253379827,0.8818705805892114,-0.21035620574831496,0.5403898023594763,
c_sca_s2_r014_b3,0.4905393081340689,0.10472994124398347,0.2492636144161224,0.7897884845733643,0.15913866460323334,0.9186769416794691,-0.1934303255902194,0.5576443504338875,
c_ca_s2_r04.5_b6,0.0023912427652643645,0.0033028994377619324,1.649933210501331e-06,0.0256626084446907,0.0033443179127061497,0.51306028276717,-0.15896397967219023,0.21782593043627704,
c_ca_s2_r06_b6,0.08534940015146647,0.02786851270432512,0.0073254238814115,0.186460480093956,0.03667247667908671,0.8523618157809216,-0.2437118373397834,0.310077571087037,
c_ca_s2_r08_b3,0.22326465233127948,0.048471274446890825,0.1029043570160865,0.3957536518573761,0.06496407091617584,0.8698512448510598,-0.20083508927621666,0.387623855685773,
c_ca_s2_r08_b6,0.22172009054151898,0.04841124124420908,0.1050817444920539,0.3990786373615265,0.06505273282527924,0.8675646089350756,-0.19779137901010987,0.3792914547556425,
c_ca_s2_r010_b3,0.37053833089533095,0.08239802664749234,0.1542714238166809,0.6144788265228271,0.11553040146827698,0.8940632505746039,-0.1806399098249644,0.45826927562515307,
c_ca_s2_r012_b1.5,0.5054242685335365,0.11390547624260924,0.2152273803949356,0.8348878622055054,0.15842846035957336,0.9013455652202991,-0.16761688886370701,0.49800984663484876,
c_ca_s2_r012_b3,0.5073382219184324,0.11633885956135513,0.2118928730487823,0.8557085394859314,0.16133995354175568,0.8967493407440936,-0.1666115260958607,0.4961842288854346,
c_ca_s2_r06_b1.5,0.09158210730725165,0.02359214812064067,0.0289131384342908,0.1882127076387405,0.03039278835058211,0.8341376162518165,-0.23444367675885844,0.34854850901762924,
c_ca_s2_r06_b3,0.08488415479472022,0.025429427785941868,0.014330580830574,0.1849245280027389,0.033239308744668905,0.8386044203055874,-0.24030730808170428,0.32035993423550985,
c_ca_s2_r08_b1.5,0.22553825742134148,0.04908065418882906,0.0979120656847953,0.3926722705364227,0.06532162427902222,0.8725823721511062,-0.20426144170363128,0.4076985793924273,
c_ca_s2_r010_b1.5,0.3683061349932146,0.08159272918375803,0.1548740565776825,0.6156542301177979,0.11471402645111078,0.8904930576158377,-0.18177120352153606,0.46387506670727624,
c_ca_s2_r010_b6,0.3719598713930492,0.08272467972220786,0.153640478849411,0.6153090596199036,0.11658017337322235,0.8953791048879853,-0.17931826576128765,0.45627909217230783,
c_ca_s2_r012_b6,0.507581247732587,0.11731144517256649,0.2093662470579147,0.8666167855262756,0.1623230278491974,0.893169678518809,-0.1663308768491939,0.49548320794919565,
c_ca_s2_r014_b3,0.628657130109137,0.13903403807435832,0.2841005027294159,0.973566234111786,0.20210659503936768,0.9291511603971512,-0.158076428288927,0.5112225037414454,
c_heavy_s3_r04.5_b6,0.007870410037292734,0.0036554631838748887,7.005260371784061e-09,0.023060655221343,0.0049084820784628495,0.8523670996771936,-0.29211452643470004,0.37132804512133577,
c_heavy_s3_r06_b6,0.03466286971377173,0.014660817752201244,4.827149678021669e-05,0.0902834236621856,0.0193987051025033,0.8636465704486982,-0.2606763508475697,0.4231599783810788,
c_heavy_s3_r08_b3,0.11192201310391725,0.03963496102816732,0.0075485557317733,0.2479798048734665,0.05386873707175252,0.8697509964223081,-0.23268949555286605,0.4858986529083614,
c_heavy_s3_r08_b6,0.11034672668106961,0.03945005674323149,0.006712335627526,0.2458596229553222,0.053407464176416355,0.8697800638115455,-0.23301095440407926,0.48250887398370557,
c_heavy_s3_r010_b3,0.23135016406772202,0.07191685814370796,0.0390681326389312,0.4570848047733307,0.09963583201169965,0.8831871752311623,-0.2123936749263643,0.5310493262155168,
c_heavy_s3_r012_b1.5,0.37082556986010373,0.10519617470562641,0.10077565908432,0.6729634404182434,0.1506027728319168,0.9020039011303016,-0.1924742020632897,0.5566723908514708,
c_heavy_s3_r012_b3,0.37117327615068785,0.106152091325028,0.0996367484331131,0.6808833479881287,0.1515260934829712,0.9002576941457545,-0.1928734824852146,0.5558988698216812,
c_bb_s3_r04.5_b6,0.01043915563811226,0.006076918966684227,1.0932387439765991e-08,0.0514425858855247,0.00770529080182315,0.7329313139988908,-0.2850257148524724,0.23850399177015652,
c_bb_s3_r06_b6,0.04466277521450258,0.022121262386162344,8.14070735941641e-05,0.167348101735115,0.02898256294429305,0.7856408564884285,-0.23606707894276588,0.2955134639111098,
c_bb_s3_r08_b3,0.15128541108038288,0.05539976953529068,0.0145337786525487,0.3729114532470703,0.07391757890582085,0.8467962215537935,-0.2023616570732523,0.38653647757379533,
c_bb_s3_r08_b6,0.1495473654903514,0.05539676405713014,0.0132837500423192,0.3735526502132416,0.07386267557740217,0.8456131347007133,-0.20245857407794507,0.3815556808672399,
c_bb_s3_r010_b3,0.3047947083426448,0.09589007433441984,0.0592804215848445,0.6159547567367554,0.13307844102382663,0.8823883491205718,-0.17853195543360437,0.45396155291676843,
c_bb_s3_r012_b1.5,0.4553812770269895,0.13053524618348297,0.1246374025940895,0.8371054530143738,0.1821097582578659,0.9003873236601595,-0.16752994028778712,0.4972891289624752,
c_bb_s3_r012_b3,0.4579886160152478,0.13279337396641688,0.1244260743260383,0.8514916896820068,0.1848791241645813,0.9001719465586964,-0.16666418231741467,0.49573094605131757,
c_sch_s3_r04.5_b6,0.006118005240737164,0.0042823686046653256,0.0,0.0304685309529304,0.005714888800866898,0.7701785197353329,-0.16967502040146307,0.3617805261664553,
c_sch_s3_r06_b6,0.028608597787460752,0.01512458368239087,1.1989440551474218e-09,0.1079303249716758,0.020341016352176645,0.8029828137579443,-0.21594512613465128,0.4196463912922873,
c_sch_s3_r08_b3,0.08383617310103482,0.035488591447021496,0.0004734925169032,0.2267856895923614,0.0476922206580639,0.8515800250663779,-0.23116990647380523,0.4768762414863022,
c_sch_s3_r08_b6,0.0827181664604256,0.03542460944761292,0.0001569701416883,0.2267853021621704,0.047618132084608106,0.8505027095162159,-0.23070079086485384,0.47252343393370316,
c_sch_s3_r010_b3,0.1715855562364017,0.061411684708643936,0.0111415600404143,0.3911073803901672,0.08237800002098086,0.8633432995200557,-0.2282002385472406,0.5280945826301331,
c_sch_s3_r012_b1.5,0.2997395062574126,0.08985667776729003,0.0681738927960395,0.5953981876373291,0.12633465975523,0.8811506385500584,-0.2162308449922727,0.5683578409709857,
c_sch_s3_r012_b3,0.2978089608423605,0.09058761136890407,0.0612389966845512,0.5982763171195984,0.12692855298519143,0.8781312132019332,-0.21798170189726754,0.5654092294698048,
c_sca_s3_r04.5_b6,0.008636285392312839,0.0047853883627979816,9.262011713140339e-10,0.0305497944355011,0.006464792182669,0.836193707889755,-0.19697944158477024,0.3958171274559119,
c_sca_s3_r06_b6,0.02997289312506224,0.014304652858254727,7.155708317441167e-06,0.1018872931599617,0.01942555140703915,0.8100089894961549,-0.22481821126157878,0.43529371559913094,
c_sca_s3_r08_b3,0.08359374183325521,0.033770654669778966,0.0018984121270477,0.2342555373907089,0.04529108107089995,0.8268199079320804,-0.229821363182769,0.48414188502531286,
c_sca_s3_r08_b6,0.08243658418095463,0.03360577691810592,0.0014532411005347,0.2327931523323059,0.0450303163379431,0.8263243249098106,-0.22988761400635468,0.4811442585996728,
c_sca_s3_r010_b3,0.16990770389876325,0.059696233456913966,0.0164458733052015,0.3937008082866668,0.08164168149232864,0.8564345382368262,-0.220880918450964,0.5228409075229653,
c_sca_s3_r012_b1.5,0.2929409536667307,0.08939077525418675,0.0737351849675178,0.5792843103408813,0.12968176603317266,0.8916733339221856,-0.20774249704055378,0.5507700752624336,
c_sca_s3_r012_b3,0.29105061188382486,0.08981762059928779,0.0687813460826873,0.5824923515319824,0.12958508729934692,0.8880788516972123,-0.20912621074590484,0.5485349461074273,
c_ca_s3_r04.5_b6,0.002354167949646908,0.0035760672408355547,0.0,0.0283648576587438,0.003340088449476696,0.47919338423360736,-0.17767330479808666,0.22661006845988851,
c_ca_s3_r06_b6,0.03646269323038087,0.0214471612194946,3.8957284620444455e-10,0.14736407995224,0.02815852500498295,0.8056329496918737,-0.24048672273432492,0.3067130174939772,
c_ca_s3_r08_b3,0.13331144910048986,0.053906087256012786,0.0006618036422878,0.325895756483078,0.07267595827579501,0.8700393010791717,-0.20017751743703385,0.38648900088389554,
c_ca_s3_r08_b6,0.13024570075430905,0.054090667416148215,1.361673912469996e-05,0.3284367024898529,0.07273274660110468,0.8676440561062,-0.19772321662230788,0.37913432336770814,
c_ca_s3_r010_b3,0.29648775479580725,0.09209114054390774,0.0547826290130615,0.5691242814064026,0.12912079691886905,0.894073741517996,-0.18063966827674593,0.45826712533924857,
c_ca_s3_r012_b1.5,0.4472628448876456,0.1273030186342093,0.1229445040225982,0.8154782056808472,0.17706525325775146,0.9013660327171833,-0.16761445992113255,0.4980070219793633,
c_ca_s3_r012_b3,0.4493780203344581,0.13002578205787196,0.1191744059324264,0.8387330770492554,0.1803211122751236,0.8967493407440936,-0.16661161704709215,0.4961842302278268,
c_heavy_s4_r04.5_b6,0.0041910905720133704,0.002961426641765927,0.0,0.0212890673428773,0.004112783819437,0.76479807022411,-0.2200388321564256,0.38637269301277016,
c_heavy_s4_r06_b6,0.021217398849229668,0.012853527769265101,6.76642006314232e-11,0.0729355886578559,0.0182913481257856,0.8665618934495806,-0.20460177763130155,0.42477278402861246,
