cv,family,mean,std,median,IQR,p05,p95,span_01_99,entropy,BC,nw_k1200
c_sca_s4_r014_b3,contact,0.6316652657336426,0.21018891030021186,0.6600927710533142,0.3205344080924988,0.24407451450824738,0.9241818845272065,0.8363344725966455,0.9349775284198247,0.502603683868952,25
crat_heavy_s4_n6m12_r08,contact rational,0.23133322442001938,0.10722950240795048,0.2325128614902496,0.1670292317867279,0.057481937855482036,0.4046828895807266,0.4278473352640866,0.934385823245336,0.45656644962004644,12
crat_heavy_s4_n6m10_r08,contact rational,0.31457866519155625,0.11495539697931563,0.3214918375015259,0.17638096213340762,0.11675745695829386,0.491495430469513,0.4645794504880905,0.9343342072289698,0.4546963030280361,13
cresb_heavy_s4_r012_b6,contact resbal,0.6087544372820952,0.20581005463097932,0.6498970430316587,0.30672414431673456,0.21039411907516406,0.8749785342999628,0.8013699699952244,0.9326317536497298,0.5521084811281777,23
cresb_heavy_s4_r08_b1.5,contact resbal,0.2027698074727187,0.11547005930234751,0.2028762366589701,0.18253999273101137,0.024490384464682612,0.3956397452946193,0.44706792115955185,0.9315015436402326,0.47712991380839564,13
cresb_heavy_s4_r012_b3,contact resbal,0.607191693488319,0.20380839800009462,0.6481434156332998,0.3035519371137238,0.21258977414613536,0.8708356633717543,0.7934480533965258,0.9313893051731105,0.5521938656604994,23
strand_cross_far_r010_b3,strand packing,0.3925591793144796,0.1691926621638435,0.4007319211959839,0.2623378336429596,0.10843131467699997,0.6564132988452911,0.6682601998746395,0.9312787868476876,0.4684817097671579,19
cresb_sch_s4_r012_b1.5,contact resbal,0.4776142190441453,0.19583533453385668,0.4907911879217458,0.2847502644406633,0.13112527617708677,0.7770251297241905,0.8297742661817413,0.9312153357428328,0.4330866346346156,24
torpca_pc1,torsion PCA,-6.006301427584587e-08,1.1124201834257534,-0.032608688,1.6974712749999998,-1.7192114600000001,1.9103564800000001,4.616989972,0.9309903876803489,0.4424083223132528,138
c_bb_s3_r08_b3,contact,0.3397303652540719,0.1555697998352764,0.3363038897514343,0.24035336077213287,0.09422332644462579,0.5978084087371827,0.6172547885775566,0.9309273296344318,0.4589499757756308,18
crat_bb_s4_n6m10_r010,contact rational,0.5881092127712618,0.1649050282314636,0.6156442761421204,0.24428375065326696,0.2766832768917084,0.8125496149063111,0.6554584732651708,0.9306707568467998,0.5200780321326571,19
crat_ca_s4_n8m14_r08,contact rational,0.32621513899761156,0.1611212157992247,0.3291961848735809,0.2531541287899018,0.06912499666213982,0.5876444637775421,0.6264257130771874,0.9301841282814156,0.47260793323905825,18
