cv1,cv2,label2,pear,spear,occ,min_bin,cond_iqr_med,frac_bins_iqr50,ent1,ent2,score,control
c_heavy_s4_r012_b3,turn3537_mean_ca,turn3537_mean_ca,-0.5228038453874143,-0.4706452413221776,0.9453125,1,0.7762508597358254,0.9375,0.9569877774537032,0.8875106015554187,0.41635812888834745,
c_ca_s4_r010_b3,pack_y2,pack_y2,0.27200234202580953,0.3008917901022787,0.9921875,2,1.0,0.9375,0.9759105486420168,0.6095468140905123,0.39638434658243404,
c_sch_s4_r012_b3,contact_order_ca8,contact_order_ca8,0.5262451044643087,0.5321716963102102,0.9609375,1,0.8522208348073161,0.875,0.9571541387239442,0.9601922973081048,0.3765057122007125,NEGATIVE
c_sch_s4_r012_b3,pack_y2,pack_y2,0.3530545148900061,0.3372599872512642,1.0,1,0.9772727272727273,0.875,0.9571541387239442,0.6095468140905123,0.35347468042363517,
c_ca_s4_r010_b3,turn3537_mean_ca,turn3537_mean_ca,-0.5472892440322383,-0.5391215826470314,0.9140625,1,0.7998456266322345,0.9375,0.9759105486420168,0.8875106015554187,0.35051538813848565,
c_bb_s4_r010_b3,turn3537_mean_ca,turn3537_mean_ca,-0.54874015501687,-0.5367692737876592,0.90625,1,0.7911441669572953,0.9375,0.978715515076252,0.8875106015554187,0.349293258805968,
c_heavy_s4_r012_b3,pack_y2,pack_y2,0.3321989291141772,0.3511989637757766,0.984375,2,0.9545454545454546,0.875,0.9569877774537032,0.6095468140905123,0.34063339967307105,
c_heavy_s4_r012_b3,e2e_nc_ca,e2e_nc_ca,-0.7591203682932169,-0.7291876985596081,0.84375,1,0.6372961261557787,1.0,0.9569877774537032,0.9099077358584404,0.2079119880390154,NEGATIVE
c_sch_s4_r012_b3,shape_anisotropy,shape_anisotropy,-0.7108527932545665,-0.7148092037071483,0.8828125,1,0.7276344490279933,0.75,0.9571541387239442,0.9126667241211112,0.1723365757478669,
c_sch_s4_r012_b3,d_y2_w9_ca,d_y2_w9_ca,-0.7545976955178498,-0.7526945639942344,0.8359375,1,0.6101560316509255,0.75,0.9571541387239442,0.9110355898698588,0.14125508058597816,NEGATIVE
c_ca_s4_r010_b3,e2e_nc_ca,e2e_nc_ca,-0.8029806343089703,-0.8008408656656132,0.7734375,1,0.5629389217144554,0.875,0.9759105486420168,0.9099077358584404,0.12263963949162707,NEGATIVE
c_ca_s4_r010_b3,shape_anisotropy,shape_anisotropy,-0.7575552860708656,-0.7563112528235272,0.875,1,0.5699687744908903,0.625,0.9759105486420168,0.9126667241211112,0.121628615166805,
c_bb_s4_r010_b3,shape_anisotropy,shape_anisotropy,-0.7618748155179879,-0.7582451226045991,0.8671875,1,0.5573522220021421,0.625,0.978715515076252,0.9126667241211112,0.11958604077732674,
c_bb_s4_r010_b3,e2e_nc_ca,e2e_nc_ca,-0.8163436707800271,-0.812271730650069,0.7578125,1,0.5462551915590639,0.75,0.978715515076252,0.9099077358584404,0.09708453655382497,NEGATIVE
c_heavy_s4_r012_b3,contact_order_ca8,contact_order_ca8,0.8154366308312838,0.8348916083758833,0.7734375,1,0.48939203151233435,0.5,0.9569877774537032,0.9601922973081048,0.06110415844215856,NEGATIVE
c_ca_s4_r010_b3,d_y2_w9_ca,d_y2_w9_ca,-0.8530933266941698,-0.85459252616547,0.7421875,1,0.4807236717590739,0.4375,0.9759105486420168,0.9110355898698588,0.04301438972561403,NEGATIVE
c_sch_s4_r012_b3,strand_cross_far_r012_b3,strand_cross_far_r012_b3,0.8451878262802335,0.8433357571136743,0.734375,1,0.49214561735108664,0.375,0.9571541387239442,0.9575789350901636,0.041295327761888066,NEGATIVE
c_heavy_s4_r012_b3,shape_anisotropy,shape_anisotropy,-0.8757931197344421,-0.8712532207871146,0.7265625,1,0.4551969897001926,0.375,0.9569877774537032,0.9126667241211112,0.032014950626833676,
c_bb_s4_r010_b3,d_y2_w9_ca,d_y2_w9_ca,-0.8613309463784338,-0.8605887866242642,0.71875,1,0.47519363650886903,0.25,0.978715515076252,0.9110355898698588,0.022821853681886196,NEGATIVE
c_ca_s4_r010_b3,strand_cross_far_r012_b3,strand_cross_far_r012_b3,0.8930535108619515,0.8945296220633521,0.6796875,1,0.38851283674326237,0.0625,0.9759105486420168,0.9575789350901636,0.004290366435726328,NEGATIVE
c_bb_s4_r010_b3,contact_order_ca8,contact_order_ca8,0.9204454233381277,0.9329776060411858,0.609375,1,0.29003471150698823,0.0,0.978715515076252,0.9601922973081048,0.0,NEGATIVE
c_bb_s4_r010_b3,strand_cross_far_r012_b3,strand_cross_far_r012_b3,0.8924129541971747,0.8899080553844618,0.6875,1,0.38565459905167787,0.0,0.978715515076252,0.9575789350901636,0.0,NEGATIVE
c_ca_s4_r010_b3,contact_order_ca8,contact_order_ca8,0.9189662452318765,0.9307479009624052,0.6171875,1,0.279063941811866,0.0,0.9759105486420168,0.9601922973081048,0.0,NEGATIVE
c_heavy_s4_r012_b3,d_y2_w9_ca,d_y2_w9_ca,-0.9447209946085232,-0.9399798939515955,0.546875,1,0.3400683369448301,0.0,0.9569877774537032,0.9110355898698588,0.0,NEGATIVE
c_heavy_s4_r012_b3,strand_cross_far_r012_b3,strand_cross_far_r012_b3,0.9979862338990392,0.9978738852651866,0.2421875,1,0.08635882529847116,0.0,0.9569877774537032,0.9575789350901636,0.0,NEGATIVE
