,bond,angle,torsion,nonbonded,gb_solvation,total
survivor_069_basin_072_candidate_2061_gencluster_2061_conf_738361_implicit_min,19.122800827026367,82.75672149658203,373.29937744140625,-349.91996002197266,-1710.615463256836,-1585.356615781784
survivor_070_basin_073_candidate_9363_gencluster_4476_conf_657031_implicit_min,16.177705764770508,64.30348205566406,376.8329772949219,-390.2232575416565,-1635.090488433838,-1567.9992582052946
survivor_071_basin_074_candidate_2822_gencluster_2822_conf_268815_implicit_min,17.471948623657227,63.34015655517578,367.2226257324219,-464.27703857421875,-1583.3258819580078,-1599.5681287050247
survivor_072_basin_076_nma_bh_candidate_10348_gencluster_5511_conf_502143_implicit_min_hop_002_mode02_m0.75A_implicit_min,16.350528717041016,57.581153869628906,371.5096130371094,-471.62290382385254,-1555.2246108055115,-1581.4064710140228
survivor_073_basin_077_nma_bh_candidate_4419_gencluster_4419_conf_774289_implicit_min_hop_000_mode01_p0.75A_implicit_min,20.485197067260742,75.15961456298828,385.5933837890625,-589.2066411972046,-1479.7378463745117,-1587.7062301635742
survivor_074_basin_078_candidate_7614_gencluster_2565_conf_537217_implicit_min,19.843156814575195,74.81106567382812,361.7145080566406,-399.932165145874,-1632.957929134369,-1576.5219113826752
survivor_075_basin_079_nma_bh_candidate_5823_gencluster_316_conf_029516_implicit_min_hop_003_mode02_p0.75A_implicit_min,18.206377029418945,71.47157287597656,369.53009033203125,-377.6696147918701,-1669.88747215271,-1588.3489221334457
survivor_076_basin_080_nma_bh_candidate_11891_gencluster_2291_conf_496459_implicit_min_hop_002_mode02_p1.35A_implicit_min,16.72686767578125,63.16067123413086,347.1117858886719,-591.2985515594482,-1452.7208995819092,-1617.0200073719025
survivor_077_basin_081_candidate_1142_gencluster_1142_conf_420131_implicit_min,17.41498565673828,79.64022827148438,383.1659240722656,-420.36111068725586,-1666.677225112915,-1606.8170833587646
survivor_078_basin_082_candidate_8784_gencluster_3865_conf_423376_implicit_min,15.409263610839844,63.00981903076172,370.4520263671875,-429.49990224838257,-1585.2185754776,-1565.8476635962725
survivor_079_basin_083_candidate_10998_gencluster_796_conf_445927_implicit_min,19.301544189453125,77.99760437011719,355.8050537109375,-316.09796810150146,-1698.8517351150513,-1561.845543563366
survivor_080_basin_084_candidate_5540_gencluster_006_conf_312006_implicit_min,21.195297241210938,86.5845947265625,387.53656005859375,-589.0104169845581,-1467.9400777816772,-1561.634076654911
survivor_081_basin_085_candidate_661_gencluster_661_conf_168578_implicit_min,19.844852447509766,81.65958404541016,357.52264404296875,-570.5060882568359,-1470.395305633545,-1581.8742483258247
survivor_082_basin_086_nma_bh_candidate_1629_gencluster_1629_conf_067992_implicit_min_hop_002_mode01_p1.35A_implicit_min,19.506921768188477,81.67597198486328,404.3702392578125,-482.1186547279358,-1591.8805956840515,-1568.4468587338924
survivor_083_basin_087_nma_bh_candidate_8426_gencluster_3483_conf_240701_implicit_min_hop_003_mode01_m0.75A_implicit_min,18.02027702331543,74.45824432373047,368.1695556640625,-558.1756839752197,-1482.3493185043335,-1579.877302646637
survivor_084_basin_088_nma_bh_candidate_4196_gencluster_4196_conf_144630_implicit_min_hop_000_mode02_p0.75A_implicit_min,18.383222579956055,64.26472473144531,352.6841125488281,-500.6041488647461,-1546.0556659698486,-1611.3272277116776
survivor_085_basin_089_candidate_11068_gencluster_891_conf_144483_implicit_min,15.816795349121094,57.85143280029297,365.4393615722656,-451.90220642089844,-1561.9730644226074,-1574.7677365094423
survivor_086_basin_090_candidate_3407_gencluster_3407_conf_131992_implicit_min,18.520811080932617,86.76454162597656,361.6944580078125,-356.30812072753906,-1713.7671542167664,-1603.0947757959366
survivor_087_basin_091_candidate_7428_gencluster_2343_conf_132451_implicit_min,19.991119384765625,81.48356628417969,373.2095642089844,-545.1776924133301,-1511.520212650299,-1582.0136499404907
survivor_088_basin_092_candidate_2957_gencluster_2957_conf_542791_implicit_min,17.85102081298828,68.77872467041016,348.0867919921875,-411.38417053222656,-1627.7522292137146,-1604.4194521903992
survivor_089_basin_093_candidate_11753_gencluster_2085_conf_494960_implicit_min,19.23090362548828,71.12625122070312,353.3392639160156,-536.0840320587158,-1515.6399869918823,-1608.0269455611706
survivor_090_basin_094_nma_bh_candidate_852_gencluster_852_conf_501860_implicit_min_hop_002_mode02_m0.75A_implicit_min,17.990673065185547,66.39573669433594,373.93939208984375,-467.9494137763977,-1577.0009307861328,-1586.624078631401
survivor_091_basin_095_nma_bh_candidate_6933_gencluster_1702_conf_111052_implicit_min_hop_000_mode02_m0.75A_implicit_min,18.305070877075195,62.1855583190918,364.1573181152344,-336.1871705055237,-1702.5338983535767,-1594.0733624994755
survivor_092_basin_096_nma_bh_candidate_4367_gencluster_4367_conf_149029_implicit_min_hop_002_mode02_m0.75A_implicit_min,17.347612380981445,70.34843444824219,373.9116516113281,-492.97431659698486,-1545.3318767547607,-1576.6979631781578
survivor_093_basin_097_candidate_11511_gencluster_1671_conf_552980_implicit_min,15.349264144897461,61.43803024291992,373.47918701171875,-433.72277784347534,-1596.125512599945,-1579.582004621625
survivor_094_basin_098_nma_bh_candidate_7179_gencluster_2031_conf_514846_implicit_min_hop_003_mode01_p0.75A_implicit_min,19.483760833740234,79.63127899169922,347.5669250488281,-461.90654611587524,-1569.5300998687744,-1584.7550808489323
survivor_095_basin_099_candidate_11495_gencluster_1640_conf_051422_implicit_min,17.521221160888672,61.13956069946289,381.6539306640625,-454.8993549346924,-1611.4335947036743,-1606.0184862613678
survivor_096_basin_100_nma_bh_candidate_7234_gencluster_2106_conf_578351_implicit_min_hop_003_mode01_m1.35A_implicit_min,18.706892013549805,81.5372543334961,367.078125,-603.1961212158203,-1494.4268083572388,-1630.3008375763893
survivor_097_basin_101_candidate_458_gencluster_458_conf_566646_implicit_min,17.432260513305664,64.16862487792969,359.0418701171875,-481.1411666870117,-1528.2264404296875,-1568.7249615192413
survivor_098_basin_102_candidate_9275_gencluster_4384_conf_123201_implicit_min,19.569923400878906,72.19355773925781,395.60540771484375,-496.20517206192017,-1555.6948795318604,-1564.5316245406866
survivor_099_basin_103_nma_bh_candidate_1796_gencluster_1796_conf_232182_implicit_min_hop_000_mode02_p1.35A_implicit_min,16.586877822875977,73.7232437133789,386.1900329589844,-557.7454643249512,-1544.9052104949951,-1626.1502209305763
survivor_10000_basin_10479_nma_bh_candidate_9416_gencluster_4534_conf_208334_implicit_min_hop_002_mode02_p0.75A_implicit_min,18.317148208618164,62.050636291503906,383.025390625,-384.80594062805176,-1659.4937281608582,-1580.9060670137405
survivor_10001_basin_10480_candidate_9996_gencluster_5139_conf_199384_implicit_min,18.3254451751709,70.90108489990234,353.16790771484375,-374.68194675445557,-1681.8501920700073,-1614.1377341151237
survivor_10002_basin_10481_nma_bh_candidate_11750_gencluster_2076_conf_503699_implicit_min_hop_000_mode01_p0.75A_implicit_min,19.273422241210938,77.95108032226562,350.47406005859375,-519.8050594329834,-1531.0653810501099,-1603.1718492507935
survivor_10003_basin_10482_candidate_9215_gencluster_4319_conf_213482_implicit_min,14.899706840515137,57.468326568603516,391.41729736328125,-360.43693256378174,-1660.818115234375,-1557.4700963795185
survivor_10004_basin_10483_candidate_9723_gencluster_4853_conf_652879_implicit_min,16.2426700592041,57.81214141845703,388.8904113769531,-351.1311454772949,-1673.8611135482788,-1562.0463505983353
survivor_10005_basin_10484_candidate_10490_gencluster_140_conf_386882_implicit_min,19.68683433532715,82.50008392333984,357.30780029296875,-435.958438873291,-1624.0981016159058,-1600.5617303401232
survivor_10006_basin_10485_nma_bh_candidate_7630_gencluster_2587_conf_369811_implicit_min_hop_003_mode01_m0.75A_implicit_min,18.469242095947266,73.1730728149414,359.2926025390625,-490.3008952140808,-1538.6562547683716,-1578.0229434221983
survivor_10007_basin_10486_nma_bh_candidate_11881_gencluster_2278_conf_426882_implicit_min_hop_001_mode01_p1.35A_implicit_min,17.580129623413086,68.79521179199219,381.134765625,-535.9721574783325,-1514.8451080322266,-1583.3073472976685
survivor_10008_basin_10487_candidate_3183_gencluster_3183_conf_066366_implicit_min,18.406526565551758,79.03592681884766,385.766845703125,-486.2881088256836,-1562.9174585342407,-1565.9969239234924
survivor_10009_basin_10488_nma_bh_candidate_10348_gencluster_5511_conf_502143_implicit_min_hop_001_mode01_p1.35A_implicit_min,15.640796661376953,59.55531692504883,371.88421630859375,-457.3200407028198,-1564.3967456817627,-1574.6374720931053
survivor_1000_basin_1031_candidate_4991_gencluster_4991_conf_067298_implicit_min,19.080522537231445,68.68081665039062,380.8923034667969,-449.63420009613037,-1622.8155813217163,-1603.7960539460182
