cv,family,mean,std,skew,exkurt,min,p05,median,p95,max,IQR,span_p05_95,span_p01_99,entropy,eff_states,BC,nw_k1200,nw_k250
strand_cross_far_r010_b3,strand packing,0.37089186680649744,0.1653979674196588,-0.0074888438110223285,-0.7250866788086281,0.0278521496802568,0.09277161397039883,0.3798876851797104,0.640611845254898,0.7875624895095825,0.24625899642705912,0.5478402312844992,0.6680041703581809,0.9506959879284042,17.25376970758552,0.4387193020560984,19,9
crat_bb_s4_n6m10_r010,contact rational,0.5626587918188971,0.16743907308833625,-0.4115336264140542,-0.650079936407217,0.1365517377853393,0.2573586076498032,0.581719309091568,0.7987043857574463,0.883010983467102,0.2515039220452309,0.5413457781076432,0.6702790278196334,0.9506033664561213,17.248982983165824,0.4966497117270291,20,9
cresb_sch_s4_r012_b3,contact resbal,0.45836179068146793,0.20205601953188482,-0.2168393410233416,-0.614717732594253,4.139541337887446e-05,0.09942778874788845,0.47696318601672016,0.7695101203010416,0.9229612611855068,0.28936097453581167,0.6700823315531531,0.8436955284072499,0.950547901694128,17.24611717203288,0.4381093203375965,25,11
c_sch_s2_r014_b3,contact,0.7151826681068101,0.14591386844383827,-0.36883894763678343,-0.683261639023891,0.3409343957901001,0.45946068316698074,0.7313490808010101,0.9245905101299287,0.9956929683685304,0.22106224298477173,0.4651298269629479,0.5882020744681359,0.9501704272908232,17.226626073891357,0.4893960318048748,17,8
strand_cross_all_r010_b3,strand packing,0.42904670067925743,0.14878780329209906,-0.007971379793526008,-0.7171968711831846,0.1192636266350746,0.17779185771942135,0.4367267489433288,0.6727120876312256,0.8049862384796143,0.2210603654384613,0.49492022991180423,0.6011446347832679,0.9499301181837243,17.214229058524584,0.43720929860787594,17,8
c_heavy_s4_r010_b3,contact,0.3393507677231452,0.17038818796666774,0.05471042688193312,-0.7509691503668496,0.0015988043742254,0.06103783417493102,0.34511585533618927,0.6178553998470306,0.7821282744407654,0.2601967230439186,0.5568175656720996,0.6860940381046384,0.9494257823525548,17.188240489733722,0.4450612627984046,20,9
c_heavy_s4_r010_b1.5,contact,0.34305647728860683,0.16506990413092953,0.009538945758773936,-0.7545732434971937,0.0066102179698646,0.07035780511796466,0.3505436182022095,0.6101384550333023,0.7627015709877014,0.25030202418565756,0.5397806499153377,0.6654274350591004,0.9493803952673395,17.18590360555652,0.44448428709307986,19,9
c_heavy_s4_r010_b6,contact,0.3383848009805956,0.17191510008084812,0.06730790435978701,-0.7484123109842975,0.0004302576417103,0.05905588977038852,0.3433914929628372,0.6206079900264739,0.7884809970855713,0.2614246644079685,0.5615521002560854,0.6918818008899689,0.9489227576067621,17.162358564048528,0.44523818833327955,20,9
crat_ca_s4_n6m12_r08,contact rational,0.27351256471770213,0.14450418454794448,0.2339630403368111,-0.7906320912233671,0.0171123780310153,0.055656172893941355,0.2661465108394623,0.5162323862314224,0.661082923412323,0.2257599495351315,0.46057621333748106,0.5802953733876346,0.9488930752534857,17.160832548388363,0.4764070901333864,17,7
cresb_sch_s4_r012_b1.5,contact resbal,0.45960784927073833,0.1940448356370153,-0.237650579230856,-0.6000598799004555,0.0020655516897224,0.11450478784714098,0.47781103369728145,0.7545963154143341,0.8995753182615671,0.28327990597139846,0.6400915275671931,0.8159911558138516,0.9485249194798313,17.141916365744358,0.4393722587495386,24,11
d_p4_g7_ca,geometry,7.574129213241195,1.6499696308669138,-0.06936110330656546,-1.1771037995466116,3.999170503306275,5.114096769033826,7.792225498246805,10.138901668649543,10.911792711220585,2.9399924977696745,5.0248048996157175,5.936828851338782,0.9473186056806312,17.080080823011013,0.5498364427011898,177,81
cresb_sca_s4_r012_b6,contact resbal,0.45760405653247743,0.19448350614378163,-0.2334455586904337,-0.620574591304349,0.0001157552831702,0.11131308287916776,0.47843895385582236,0.7499074609974331,0.9040283850330952,0.28514152606762366,0.6385943781182654,0.8187618103765159,0.9468799595511841,17.057651203493638,0.4423221837481438,24,11
crat_bb_s4_n6m12_r08,contact rational,0.29098097734852946,0.14843011997054603,0.19204192952245258,-0.8279979014824259,0.0208696350455284,0.06571839787065978,0.2835592776536941,0.5382241338491439,0.6923068165779114,0.22993350774049762,0.4725057359784841,0.585294460877776,0.9466953024981783,17.0482178086755,0.47638078066814765,17,7
cresb_sca_s4_r012_b3,contact resbal,0.4579987239998809,0.1924553938454551,-0.24014028840415447,-0.6145942031054554,0.0006848787101284,0.1141672908944468,0.4786140175642629,0.7470063905156344,0.8984364421509299,0.2820262416541852,0.6328390996211877,0.8061175597112705,0.9463754924510616,17.031892324803106,0.4425419640058605,24,11
cresb_heavy_s4_r08_b1.5,contact resbal,0.1853478571563988,0.11224933309012393,0.3084310251769455,-0.7396149148776439,0.0005060384343054,0.019700688942188762,0.1789280268063672,0.3791601342062735,0.4945728198015428,0.17507144854574086,0.35945944526408474,0.43874468846251374,0.946178419704422,17.021840051725533,0.48350921948199316,13,5
