seed,bond,angle,torsion,nonbonded,gb_solvation,total
survivor_1084_basin_1102_candidate_2244_gencluster_161_conf_170376_implicit_min,20.818096160888672,79.86967468261719,379.95697021484375,-443.1547803878784,-1617.4727721214294,-1579.9822235107422
survivor_1085_basin_1103_nma_bh_candidate_583_gencluster_583_conf_027260_implicit_min_hop_000_mode02_p1.35A_implicit_min,18.688688278198242,72.56660461425781,380.82427978515625,-673.1345596313477,-1371.507703781128,-1572.5625900030136
survivor_1086_basin_1104_nma_bh_candidate_375_gencluster_375_conf_010225_implicit_min_hop_002_mode02_m0.75A_implicit_min,16.357261657714844,64.19632720947266,375.4955749511719,-561.4462509155273,-1529.135491847992,-1634.5325611829758
survivor_1087_basin_1105_candidate_1840_gencluster_1840_conf_127388_implicit_min,16.934045791625977,69.21829223632812,357.0546875,-426.9314546585083,-1595.2581424713135,-1578.9824393689632
survivor_1088_basin_1106_nma_bh_candidate_082_gencluster_082_conf_089503_implicit_min_hop_002_mode01_p0.75A_implicit_min,20.388973236083984,82.52643585205078,360.2269287109375,-619.0220699310303,-1438.026035308838,-1593.906008541584
survivor_1089_basin_1107_nma_bh_candidate_375_gencluster_375_conf_010225_implicit_min_hop_002_mode02_m1.35A_implicit_min,16.48744010925293,64.52169799804688,374.89898681640625,-567.6423225402832,-1524.3191695213318,-1636.0527873635292
survivor_108_basin_111_candidate_1280_gencluster_1280_conf_011206_implicit_min,16.85749053955078,65.8945541381836,372.6131591796875,-495.2136859893799,-1551.7184524536133,-1591.5669364333153
survivor_1090_basin_1108_candidate_1338_gencluster_1338_conf_039124_implicit_min,17.779420852661133,66.5796890258789,367.7208557128906,-310.6881170272827,-1712.452688217163,-1571.0609995424747
survivor_1091_basin_1109_nma_bh_candidate_1045_gencluster_1045_conf_012052_implicit_min_hop_002_mode02_p1.35A_implicit_min,20.178508758544922,84.05322265625,357.18048095703125,-317.25879096984863,-1701.3471426963806,-1557.1933347284794
survivor_1092_basin_1110_explore_r04_hit_0058_conf_001379_implicit_min,16.30891990661621,62.22602081298828,360.3170166015625,-425.1533713340759,-1638.8562955856323,-1625.1585087776184
survivor_1093_basin_1111_candidate_1948_gencluster_1948_conf_026873_implicit_min,17.818069458007812,65.04519653320312,374.2716979980469,-470.650297164917,-1561.4341711997986,-1574.9493052959442
survivor_1094_basin_1112_candidate_2145_gencluster_040_conf_146690_implicit_min,20.410865783691406,85.88904571533203,385.752197265625,-491.64227199554443,-1616.6574840545654,-1616.2476677894592
survivor_1095_basin_1113_nma_bh_candidate_1168_gencluster_1168_conf_154905_implicit_min_hop_000_mode01_m0.75A_implicit_min,17.13021469116211,71.8068618774414,372.8960876464844,-616.0856742858887,-1461.631139755249,-1615.8836581707
survivor_1096_basin_1114_candidate_1656_gencluster_1656_conf_149105_implicit_min,16.845930099487305,60.21180725097656,352.086669921875,-405.23717498779297,-1616.4184165000916,-1592.5108787417412
survivor_1097_basin_1115_nma_bh_candidate_2083_gencluster_2083_conf_036478_implicit_min_hop_002_mode01_p1.35A_implicit_min,16.952295303344727,64.49069213867188,373.145263671875,-316.87501192092896,-1715.577433347702,-1577.8634720146656
survivor_1098_basin_1116_nma_bh_candidate_2293_gencluster_217_conf_180539_implicit_min_hop_000_mode01_p0.75A_implicit_min,16.187652587890625,52.20613479614258,369.2069091796875,-436.4885745048523,-1597.8580465316772,-1596.745383426547
survivor_1099_basin_1117_candidate_2822_gencluster_916_conf_087055_implicit_min,17.190061569213867,66.7979965209961,352.09466552734375,-479.25939178466797,-1563.138415336609,-1606.315281867981
survivor_109_basin_112_candidate_455_gencluster_455_conf_097879_implicit_min,18.72478675842285,73.27214813232422,370.5523681640625,-766.2982635498047,-1321.1575870513916,-1624.9069505482912
survivor_1100_basin_1118_candidate_683_gencluster_683_conf_029283_implicit_min,17.18285369873047,72.65441131591797,373.04144287109375,-524.9649147987366,-1544.0744013786316,-1606.1607062220573
survivor_1101_basin_1119_candidate_1022_gencluster_1022_conf_021405_implicit_min,18.392799377441406,73.07025909423828,354.6117858886719,-549.2036108970642,-1486.1477155685425,-1589.276782631874
survivor_1102_basin_1120_nma_bh_candidate_1125_gencluster_1125_conf_106560_implicit_min_hop_001_mode02_m1.35A_implicit_min,19.101713180541992,92.22662353515625,365.23822021484375,-701.7946462631226,-1403.9203038215637,-1629.1479986906052
