window,center_A,k_kcal_mol_A2,secondary_center_window_table,secondary_k_kcal_mol_window_table,samples,cv_mean_A,cv_std_A,cv2_mean,cv2_std,self_bias_median_kT,self_bias_p90_kT,overlap_left,overlap_right,cv_space_neighbor,cv_space_overlap_marginal,cv_space_overlap_joint
47,0.673197,499.8177,,,73008,0.6805847815462248,0.033721252353818044,,,3.8173856482438726,7.2097072965328355,0.9706672355884266,0.5360317186760514,44,0.922905,
48,0.724772,502.3906,,,24051,0.7232115327045529,0.03438211012719907,,,0.22685514646278013,1.350995457593219,0.5360317186760514,0.9194334474914895,49,0.919433,
49,0.724772,502.3906,,,94713,0.7298051737414172,0.03391966214541468,,,3.3899963255529144,5.7488525841808285,0.9194334474914895,0.9623388552785785,48,0.919433,
50,0.724772,502.3906,,,94713,0.733146006004404,0.03319786120910486,,,3.8013532901430143,6.8988453800690985,0.9623388552785785,0.9465941279621922,48,0.881804,
51,0.724772,502.3906,,,73008,0.729352558389675,0.034069335519498006,,,3.6649650133451095,7.030717335251815,0.9465941279621922,0.5680644565538205,48,0.935043,
52,0.776347,389.2511,,,24051,0.7706471989692202,0.036812050235588145,,,0.19874052210168366,1.224780531167223,0.5680644565538205,0.9423161682515317,53,0.942316,
53,0.776347,389.2511,,,94713,0.7760781953788497,0.035809176033295406,,,3.196892366640902,5.488090582157711,0.9423161682515317,0.9776060308510975,52,0.942316,
54,0.776347,389.2511,,,94713,0.7783469684695691,0.03582456786446378,,,3.675535884734498,6.667020211099982,0.9776060308510975,0.9671794704154612,52,0.920239,
55,0.776347,389.2511,,,73008,0.7799575026378724,0.03749619722056517,,,3.5626478659844913,6.801936580714728,0.9671794704154612,0.656548901358009,52,0.902596,
56,0.827922,326.9547,,,24051,0.8151730109111648,0.0404614922998476,,,0.21562628657348107,1.3673640966217964,0.656548901358009,0.9565444312341453,57,0.956544,
57,0.827922,326.9547,,,94713,0.8195033297506737,0.03915967677264774,,,3.1846966450555585,5.495637800833792,0.9565444312341453,0.978440129654852,56,0.956544,
58,0.827922,326.9547,,,94713,0.8217497535860399,0.03978820071511821,,,3.632101332955863,6.605259744285245,0.978440129654852,0.9272138456583529,56,0.942580,
59,0.827922,326.9547,,,73008,0.8269830423944252,0.03902978126834178,,,3.3825980917282936,6.552453584044684,0.9272138456583529,0.7240736274694162,56,0.871094,
60,0.879497,344.7293,,,24051,0.8579460173469835,0.03763018759468192,,,0.29036693266426955,1.3784597531702376,0.7240736274694162,0.9461829816279684,61,0.946183,
61,0.879497,344.7293,,,94713,0.8602694405932239,0.03697036178434394,,,3.1775838963835623,5.633437021866843,0.9461829816279684,0.9694550906422561,60,0.946183,
62,0.879497,344.7293,,,94713,0.8626544977260728,0.03758734094746249,,,3.596367734869456,6.5832365470894505,0.9694550906422561,0.9470958986043118,60,0.924548,
63,0.879497,344.7293,,,73008,0.8643766926357014,0.03520223604980102,,,3.3583979989887203,6.548611535603109,0.9470958986043118,,60,0.900883,
