method,bin,cv_A,probability,pmf_kcal_mol,counts
gamd_cumulant2,11,0.39079840856914716,0.05233187777125587,0.1322537570269482,177932
gamd_cumulant2,12,0.42295239415640634,0.04416421807860262,0.2334168337067628,178782
gamd_cumulant2,13,0.45510637974366547,0.04276467089038066,0.25261477701884294,182251
gamd_cumulant2,14,0.4872603653309246,0.03822882096658601,0.31945793456633553,187079
gamd_cumulant2,15,0.5194143509181837,0.03381292638232696,0.39263466866000196,183010
gamd_cumulant2,16,0.5515683365054429,0.035481098233741154,0.3639253634970223,176656
gamd_cumulant2,17,0.5837223220927019,0.03924034262502137,0.30388878964584465,170642
gamd_cumulant2,18,0.6158763076799612,0.032916015712637796,0.4086617656843401,170628
gamd_cumulant2,19,0.6480302932672202,0.025677349504914612,0.5567184654925004,172676
gamd_cumulant2,20,0.6801842788544794,0.019311185341729036,0.7265795873379595,178187
gamd_cumulant2,21,0.7123382644417384,0.01669204270408339,0.8134714994970536,187753
gamd_cumulant2,22,0.7444922500289977,0.015485829689400843,0.858187606821496,200024
gamd_cumulant2,23,0.7766462356162568,0.013747879268318353,0.9291551311800845,203799
gamd_cumulant2,24,0.8088002212035159,0.014627808205075239,0.8921693978814964,200205
gamd_cumulant2,25,0.8409542067907751,0.009647160573174303,1.140327943048861,184646
gamd_cumulant2,26,0.8731081923780342,0.007476985985429635,1.2922500245514834,132141
gamd_cumulant2,27,0.9052621779652934,0.004819640837928086,1.5540425394039905,70163
gamd_cumulant2,28,0.9374161635525524,0.005309625570306951,1.4963210668125984,14284
gamd_cumulant2,29,0.9695701491398117,2.5362019501528012e-05,4.682221145524608,349
gamd_cumulant3,0,0.037104567109296716,0.009872752343242114,1.333319085803202,1133
gamd_cumulant3,1,0.06925855269655586,0.0906870054213232,0.011250730775456796,23245
gamd_cumulant3,2,0.101412538283815,0.09241469800157862,0.0,108700
gamd_cumulant3,3,0.13356652387107412,0.09046002977201832,0.012744701281144133,177989
