variant,metric,checkpoint_index,n_epochs,frac_total,bin,x,F_kcal_mol,P,count
epoch,cv_distance,6,6,0.3182068859600134,16,0.5515683365054429,0.08727725067673231,0.04168039577956648,55574
epoch,cv_distance,6,6,0.3182068859600134,17,0.5837223220927019,0.1360532149043976,0.03840601801758102,53481
epoch,cv_distance,6,6,0.3182068859600134,18,0.6158763076799612,0.14671528316785665,0.03772524993434266,53762
epoch,cv_distance,6,6,0.3182068859600134,19,0.6480302932672202,0.14802332903900783,0.03764256717202717,53658
epoch,cv_distance,6,6,0.3182068859600134,20,0.6801842788544794,0.10165834073523028,0.04068697737244962,55720
epoch,cv_distance,6,6,0.3182068859600134,21,0.7123382644417384,0.04943145837485985,0.044412162683043356,61396
epoch,cv_distance,6,6,0.3182068859600134,22,0.7444922500289977,0.014005625364728713,0.04713126604644311,63898
epoch,cv_distance,6,6,0.3182068859600134,23,0.7766462356162568,0.03082744444346619,0.045819955703154204,61301
epoch,cv_distance,6,6,0.3182068859600134,24,0.8088002212035159,0.10312009593670868,0.04058733731095974,55831
epoch,cv_distance,6,6,0.3182068859600134,25,0.8409542067907751,0.21397209630774672,0.03370051624287139,52099
epoch,cv_distance,6,6,0.3182068859600134,26,0.8731081923780342,0.16661238184619198,0.03648693558775061,53201
epoch,cv_distance,6,6,0.3182068859600134,27,0.9052621779652934,0.048990912066351866,0.04444499414334977,30362
epoch,cv_distance,6,6,0.3182068859600134,28,0.9374161635525524,0.6567246455352227,0.01603607254138594,4613
epoch,cv_distance,6,6,0.3182068859600134,29,0.9695701491398117,3.8296435528150794,7.828427527822864e-05,79
epoch,cv_distance,7,7,0.3556908298894225,0,0.037104567109296716,1.9401063457643062,0.0018896654665043102,359
epoch,cv_distance,7,7,0.3556908298894225,1,0.06925855269655586,0.761353204264001,0.013648621099026504,7853
epoch,cv_distance,7,7,0.3556908298894225,2,0.101412538283815,0.43505920726546643,0.023593318117279334,37749
epoch,cv_distance,7,7,0.3556908298894225,3,0.13356652387107412,0.4448045919108585,0.023210775876438314,63925
epoch,cv_distance,7,7,0.3556908298894225,4,0.16572050945833325,0.44698913188239464,0.023125879250464935,70793
epoch,cv_distance,7,7,0.3556908298894225,5,0.1978744950455924,0.37281942121361666,0.026189654376501295,71160
epoch,cv_distance,7,7,0.3556908298894225,6,0.23002848063285153,0.3247052954977412,0.02839096671958717,69009
epoch,cv_distance,7,7,0.3556908298894225,7,0.26218246622011065,0.3095133118371236,0.02912375112347715,66031
